NAME,GEO_ID,RCPSZFI,NAICS2017_LABEL,ETH_GROUP,SEX,EMPSZFI,EMP,FIRMPDEMP,NAICS2017,metropolitan statistical area/micropolitan statistical area
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,651,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,652,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,001,657,92499,599,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,511,Total for all sectors,029,001,001,918,498,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,518,Total for all sectors,029,001,001,304,506,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,029,001,001,1149,1261,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,029,001,001,2179,2490,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,029,001,001,6633,5813,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,029,001,001,21501,11554,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,029,001,001,29670,10073,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,029,001,001,45859,8022,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,029,001,001,374362,14129,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,002,001,71536,11806,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,003,001,354299,34621,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,029,004,001,56741,7921,00,45300
